type,count
R1-6,3735
T2a,908
Tm3,897
T4c,868
T3,853
L2,848
L1,834
L5,795
T4d,792
Mi1,785
Tm2,782
Mi9,781
Tm1,779
T5c,770
Tm9,767
Mi4,766
C3,759
T4b,759
Tm4,755
T5b,754
Tm20,750
T5d,742
T2,741
T5a,740
T4a,720
L3,692
C2,685
Tm21,668
T1,658
L4,652
R8,625
Dm2,619
TmY5a,604
R7,595
Tm27,577
Dm3p,505
Mi15,491
Dm3q,445
Mi2,424
Tm5f,404
TmY3,375
Tm25,369
Mi13,365
Dm3v,320
Tm5c,308
Y3,298
Tm5e,259
Dm10,251
Tm7,250
Tm5a,229
TmY10,225
Tm5b,221
TmY4,221
Dm8b,203
Dm15,201
Mi10,199
TmY11,199
LC12,198
Sm02,194
TmY9q__perp,188
TmY14,185
TmY9q,185
Lawf2,177
Dm8a,175
Tm16,169
Tm5d,162
TmY31,161
Sm07,158
Tm36,141
TmY20,141
Sm01,138
LC17,134
Lawf1,128
Mi14,125
Tm37,124
Pm01,122
TmY15,122
LLPC2,120
MeTu1,120
LC10a,116
Tm8a,115
LPLC2,108
Y12,108
Dm12,107
LLPC1,106
Li06,103
LLPC3,102
Lai,102
LC10c,101
LC18,96
Pm03,96
Li10,94
LC10d,93
Pm02,93
Tm32,92
LC9,87
Sm08,85
Y4,85
Y1,84
Li01,83
LPC1,82
Li05,81
Sm03,80
LC16,78
Sm04,78
Dm9,77
Sm06,77
Sm12,76
LC13,75
Sm09,75
TmY16,74
Pm05,73
MeTu3c,72
Tlp1,72
MeTu4a,70
Sm05,70
LC21,68
LPLC1,68
Tm8b,67
LC11,66
Dm11,65
LC6,65
Sm15,63
Tm33,62
Y11,62
LPi09,58
Pm08,58
Tm35,58
LPLC4,56
LPC2,55
MLt2,55
LC4,54
Li02,53
MLt3,53
MeTu3b,53
Tm31,53
LC10e,52
LC15,51
MTe51,49
Dm20,48
MLt1,48
cLP02,48
Dm16,47
Tlp4,46
MLt4,45
LPi07,44
Li17,44
LC22,43
LC28a,42
LMa5,42
MeTu4c,42
Pm04,42
LC24,41
LC10b,40
LPi02,39
MTe02,39
Dm4,38
Li03,37
Dm1,36
LPi04,35
Li13,35
Pm09,35
Sm10,35
Dm6,34
LC25,34
LMa4,34
LPi05,34
MeTu2a,34
Tm34,34
Sm16,33
LLPt,32
MLt5,31
Sm20,31
Sm32,31
Li11,30
LMt2,29
MLt6,29
MTe01a,29
LMa1,28
MTe54,28
Sm19,28
Tlp5,28
LPi11,27
aMe5,27
LC26,26
Li09,26
Pm06,26
Tlp14,26
Dm13,25
LCe02,25
LMt1,25
MTe01b,25
MTe50,25
Pm07,25
Sm22,25
Dm18,24
DmDRA1,24
MLt7,24
cLP01,24
LC20b,23
MTe03,23
LC29,22
LPi01,22
Li08,22
Pm10,22
LPi10,21
Li12,20
MeTu3a,20
Sm18,20
LC40,19
LCe04,19
LMt4,19
Li16,19
MeTu4d,19
Sm13,19
Sm21,19
Sm23,19
cLP03,19
LC27,18
LC31a,18
LC36,18
LCe01b,18
LPTe01,18
LPi08,18
MTe52,18
LMa2,17
LMa3,17
LMt3,17
LPi06,17
Li18,17
MeTu2b,17
Pm11,17
Sm14,17
Li15,16
LT52,15
uncertain,15
Dm14,14
Dm19,14
LC33,14
MTe05,14
Sm30,14
LC20a,13
Li14,13
DmDRA2,12
LC45,12
LCe03,12
Li07,12
MTe04,12
LCe01a,11
LCe05,11
LT51,11
LT57,11
Sm31,11
Li04,10
MLt8,10
MTe06,10
Sm26,10
LC37,9
Li22,9
MeTu4b,9
aMe4,9
cL01,9
LC19,8
LCe09,8
LTe09,8
LTe64,8
MTe53,8
Sm25,8
LC34,7
LC46,7
Li21,7
MTe07,7
Sm17,7
Sm27,7
APDN3,6
LC41,6
LC43,6
LCe07,6
LPi03,6
LTe58,6
MTe08,6
MTe09,6
LC31b,5
LCe06,5
LPTe02,5
LTe68,5
PDt,5
Sm29,5
Sm34,5
Dm17,4
LC35,4
LC39,4
LPT31,4
LT53,4
LT70,4
LT78,4
LT81,4
LTe38a,4
LTe43,4
LTe66,4
Li24,4
Li26,4
MTe10,4
Sm11,4
Sm24,4
VST2,4
cL02a,4
cL03,4
LLPC4,3
LPT23,3
LT38,3
LT74,3
LT77,3
LT82,3
LTe01,3
LTe32,3
LTe33,3
