type,count,family,subsystem,category
5-HTPMPV01,1,other,,boundary
5th-LNv,1,other,,boundary
AN_multi_124,1,AN,,boundary
APDN3,6,other,,boundary
AVLP151,1,AVLP,,boundary
Am1,1,Medulla Lobula Lobula Plate Amacrine,Motion,intrinsic
C2,685,Centrifugal,ON,intrinsic
C3,759,Centrifugal,ON,intrinsic
CB0230,1,CB,,boundary
CB0802,1,CB,,boundary
CB2197,1,CB,,boundary
CB2216,2,CB,,boundary
CB2580,1,CB,,boundary
CB2685,1,CB,,boundary
CB2848,1,CB,,boundary
CB3089,2,CB,,boundary
CB3235,1,CB,,boundary
CB3238,1,CB,,boundary
CB3790,2,CB,,boundary
CB3833,1,CB,,boundary
CB3866,1,CB,,boundary
CT1,1,Lobula Medulla Amacrine,Motion,intrinsic
DCH,1,other,,boundary
DGI,1,other,,boundary
DN1-l,1,DN,,boundary
DN1a,2,DN,,boundary
DNc02,1,DN,,boundary
DNp11,1,DN,,boundary
DNpe053,1,DN,,boundary
Dm1,36,Distal Medulla,ON,intrinsic
Dm10,251,Distal Medulla,Luminance,intrinsic
Dm11,65,Distal Medulla,Color,intrinsic
Dm12,107,Distal Medulla,Luminance,intrinsic
Dm13,25,Distal Medulla,OFF,intrinsic
Dm14,14,Distal Medulla,OFF,intrinsic
Dm15,201,Distal Medulla,OFF,intrinsic
Dm16,47,Distal Medulla,OFF,intrinsic
Dm17,4,Distal Medulla,OFF,intrinsic
Dm18,24,Distal Medulla,ON,intrinsic
Dm19,14,Distal Medulla,OFF,intrinsic
Dm2,619,Distal Medulla,Luminance,intrinsic
Dm20,48,Distal Medulla,Luminance,intrinsic
Dm3p,505,Distal Medulla,Form,intrinsic
Dm3q,445,Distal Medulla,Form,intrinsic
Dm3v,320,Distal Medulla,Form,intrinsic
Dm4,38,Distal Medulla,Luminance,intrinsic
Dm6,34,Distal Medulla,OFF,intrinsic
Dm8a,175,Distal Medulla,Color,intrinsic
Dm8b,203,Distal Medulla,Color,intrinsic
Dm9,77,Distal Medulla,Luminance,intrinsic
DmDRA1,24,Distal Medulla Dorsal Rim Area,Polarization,intrinsic
DmDRA2,12,Distal Medulla Dorsal Rim Area,Color,intrinsic
H2,1,H,,boundary
HBeyelet,1,H,,boundary
HSE,1,HS,,boundary
HSN,1,HS,,boundary
HSS,1,HS,,boundary
L1,834,Lamina Monopolar,ON,intrinsic
L2,848,Lamina Monopolar,OFF,intrinsic
L3,692,Lamina Monopolar,Luminance,intrinsic
L4,652,Lamina Monopolar,OFF,intrinsic
L5,795,Lamina Monopolar,ON,intrinsic
LAL047,1,other,,boundary
LC10a,116,LC,,boundary
LC10b,40,LC,,boundary
LC10c,101,LC,,boundary
LC10d,93,LC,,boundary
LC10e,52,LC,,boundary
LC10f,2,LC,,boundary
LC11,66,LC,,boundary
LC12,198,LC,,boundary
LC13,75,LC,,boundary
LC15,51,LC,,boundary
LC16,78,LC,,boundary
LC17,134,LC,,boundary
LC18,96,LC,,boundary
LC19,8,LC,,boundary
LC20a,13,LC,,boundary
LC20b,23,LC,,boundary
LC21,68,LC,,boundary
LC22,43,LC,,boundary
LC24,41,LC,,boundary
LC25,34,LC,,boundary
LC26,26,LC,,boundary
LC27,18,LC,,boundary
LC28a,42,LC,,boundary
LC29,22,LC,,boundary
LC31a,18,LC,,boundary
LC31b,5,LC,,boundary
LC31c,1,LC,,boundary
LC33,14,LC,,boundary
LC34,7,LC,,boundary
LC35,4,LC,,boundary
LC36,18,LC,,boundary
LC37,9,LC,,boundary
LC39,4,LC,,boundary
LC4,54,LC,,boundary
LC40,19,LC,,boundary
LC41,6,LC,,boundary
LC43,6,LC,,boundary
LC44,2,LC,,boundary
LC45,12,LC,,boundary
LC46,7,LC,,boundary
LC6,65,LC,,boundary
LC9,87,LC,,boundary
LCe01a,11,LC,,boundary
LCe01b,18,LC,,boundary
LCe02,25,LC,,boundary
LCe03,12,LC,,boundary
LCe04,19,LC,,boundary
LCe05,11,LC,,boundary
LCe06,5,LC,,boundary
LCe07,6,LC,,boundary
LCe08,1,LC,,boundary
LCe09,8,LC,,boundary
LLPC1,106,LLPC,,boundary
LLPC2,120,LLPC,,boundary
LLPC3,102,LLPC,,boundary
LLPC4,3,LLPC,,boundary
LLPt,32,Lobula Lobula Plate Tangential,Color,intrinsic
LMa1,28,Lobula Medulla Amacrine,Object,intrinsic
LMa2,17,Lobula Medulla Amacrine,Object,intrinsic
LMa3,17,Lobula Medulla Amacrine,Object,intrinsic
LMa4,34,Lobula Medulla Amacrine,Object,intrinsic
LMa5,42,Lobula Medulla Amacrine,Object,intrinsic
LMt1,25,Lobula Medulla Tangential,Object,intrinsic
LMt2,29,Lobula Medulla Tangential,Object,intrinsic
LMt3,17,Lobula Medulla Tangential,Object,intrinsic
LMt4,19,Lobula Medulla Tangential,Object,intrinsic
LNd_CRY+_ITP+,1,LN,,boundary
LPC1,82,LPC,,boundary
LPC2,55,LPC,,boundary
LPLC1,68,LPLC,,boundary
LPLC2,108,LPLC,,boundary
LPLC4,56,LPLC,,boundary
LPT04_HST,1,LPT,,boundary
LPT21,1,LPT,,boundary
LPT22,1,LPT,,boundary
LPT23,3,LPT,,boundary
LPT26,1,LPT,,boundary
LPT27,1,LPT,,boundary
LPT28,1,LPT,,boundary
LPT29,1,LPT,,boundary
LPT30,1,LPT,,boundary
LPT31,4,LPT,,boundary
LPT42_Nod4,1,LPT,,boundary
LPT47_vCal2,1,LPT,,boundary
LPT48_vCal3,1,LPT,,boundary
LPT49,1,LPT,,boundary
LPT51,1,LPT,,boundary
LPT52,1,LPT,,boundary
LPT53,1,LPT,,boundary
LPT54,1,LPT,,boundary
LPT58,1,LPT,,boundary
LPTe01,18,LPT,,boundary
LPTe02,5,LPT,,boundary
LPi01,22,Lobula Plate Intrinsic,Motion,intrinsic
LPi02,39,Lobula Plate Intrinsic,Motion,intrinsic
LPi03,6,Lobula Plate Intrinsic,Motion,intrinsic
LPi04,35,Lobula Plate Intrinsic,Motion,intrinsic
LPi05,34,Lobula Plate Intrinsic,Motion,intrinsic
LPi06,17,Lobula Plate Intrinsic,Motion,intrinsic
LPi07,44,Lobula Plate Intrinsic,Motion,intrinsic
LPi08,18,Lobula Plate Intrinsic,Motion,intrinsic
LPi09,58,Lobula Plate Intrinsic,Motion,intrinsic
LPi10,21,Lobula Plate Intrinsic,Motion,intrinsic
LPi11,27,Lobula Plate Intrinsic,Motion,intrinsic
LPi12,1,Lobula Plate Intrinsic,Motion,intrinsic
LPi13,1,Lobula Plate Intrinsic,Motion,intrinsic
LPi14,2,Lobula Plate Intrinsic,Motion,intrinsic
LPi15,1,Lobula Plate Intrinsic,Motion,intrinsic
LT11,1,LT,,boundary
LT1a,1,LT,,boundary
LT1b,1,LT,,boundary
LT1c,1,LT,,boundary
LT1d,1,LT,,boundary
LT33,1,LT,,boundary
LT34,1,LT,,boundary
LT36,1,LT,,boundary
LT37,1,LT,,boundary
LT38,3,LT,,boundary
LT39,1,LT,,boundary
LT40,1,LT,,boundary
LT41,1,LT,,boundary
LT42,1,LT,,boundary
LT43,2,LT,,boundary
LT47,1,LT,,boundary
LT51,11,LT,,boundary
LT52,15,LT,,boundary
LT53,4,LT,,boundary
LT56,1,LT,,boundary
LT57,11,LT,,boundary
LT58,1,LT,,boundary
LT59,1,LT,,boundary
LT60,1,LT,,boundary
LT61a,1,LT,,boundary
LT61b,1,LT,,boundary
LT62,1,LT,,boundary
LT63,2,LT,,boundary
LT64,2,LT,,boundary
LT65,1,LT,,boundary
LT67,1,LT,,boundary
LT68,2,LT,,boundary
LT69,1,LT,,boundary
LT70,4,LT,,boundary
LT72,1,LT,,boundary
LT73,2,LT,,boundary
LT74,3,LT,,boundary
LT75,1,LT,,boundary
LT76,1,LT,,boundary
LT77,3,LT,,boundary
LT78,4,LT,,boundary
LT79,1,LT,,boundary
LT80,2,LT,,boundary
LT81,4,LT,,boundary
LT82,3,LT,,boundary
LT83,1,LT,,boundary
LT84,1,LT,,boundary
LT85,1,LT,,boundary
LT86,1,LT,,boundary
LT87,1,LT,,boundary
LTe01,3,LT,,boundary
LTe02,2,LT,,boundary
LTe03,2,LT,,boundary
LTe04,1,LT,,boundary
LTe05,1,LT,,boundary
LTe06,1,LT,,boundary
LTe07,1,LT,,boundary
LTe08,1,LT,,boundary
LTe09,8,LT,,boundary
LTe10,1,LT,,boundary
LTe11,1,LT,,boundary
LTe12,1,LT,,boundary
LTe13,1,LT,,boundary
LTe14,1,LT,,boundary
LTe15,1,LT,,boundary
LTe16,1,LT,,boundary
LTe17,1,LT,,boundary
LTe18,1,LT,,boundary
LTe19,1,LT,,boundary
LTe20,1,LT,,boundary
LTe21,1,LT,,boundary
LTe22,1,LT,,boundary
LTe23,1,LT,,boundary
LTe24,1,LT,,boundary
LTe25,1,LT,,boundary
LTe26,1,LT,,boundary
LTe27,1,LT,,boundary
LTe28,1,LT,,boundary
LTe29,1,LT,,boundary
LTe30,1,LT,,boundary
LTe31,1,LT,,boundary
LTe32,3,LT,,boundary
LTe33,3,LT,,boundary
LTe35,1,LT,,boundary
LTe36,1,LT,,boundary
LTe37,2,LT,,boundary
LTe38a,4,LT,,boundary
LTe38b,2,LT,,boundary
LTe40,1,LT,,boundary
LTe41,1,LT,,boundary
LTe42a,1,LT,,boundary
LTe42b,1,LT,,boundary
LTe42c,1,LT,,boundary
LTe43,4,LT,,boundary
LTe44,1,LT,,boundary
LTe45,1,LT,,boundary
LTe46,1,LT,,boundary
LTe47,2,LT,,boundary
LTe48,1,LT,,boundary
LTe49a,2,LT,,boundary
LTe49b,3,LT,,boundary
LTe49c,3,LT,,boundary
LTe49d,1,LT,,boundary
LTe49e,2,LT,,boundary
LTe49f,1,LT,,boundary
LTe50,2,LT,,boundary
LTe51,1,LT,,boundary
LTe53,1,LT,,boundary
LTe54,2,LT,,boundary
LTe55,1,LT,,boundary
LTe56,1,LT,,boundary
LTe57,1,LT,,boundary
LTe58,6,LT,,boundary
LTe59a,1,LT,,boundary
LTe59b,1,LT,,boundary
LTe60,1,LT,,boundary
LTe61,1,LT,,boundary
LTe62,1,LT,,boundary
LTe63,3,LT,,boundary
LTe64,8,LT,,boundary
LTe65,3,LT,,boundary
LTe66,4,LT,,boundary
LTe67,2,LT,,boundary
LTe68,5,LT,,boundary
LTe69,1,LT,,boundary
LTe70,1,LT,,boundary
LTe72,1,LT,,boundary
LTe73,1,LT,,boundary
LTe74,1,LT,,boundary
LTe75,1,LT,,boundary
LTe76,1,LT,,boundary
Lai,102,Lamina Intrinsic,OFF,intrinsic
Lat,1,Lamina Tangential,Color,intrinsic
LatB,3,other,,boundary
Lawf1,128,Lamina Wide Field,OFF,intrinsic
Lawf2,177,Lamina Wide Field,ON,intrinsic
Li01,83,Lobula Intrinsic,Color,intrinsic
Li02,53,Lobula Intrinsic,Color,intrinsic
Li03,37,Lobula Intrinsic,Color,intrinsic
Li04,10,Lobula Intrinsic,Color,intrinsic
Li05,81,Lobula Intrinsic,Color,intrinsic
Li06,103,Lobula Intrinsic,Color,intrinsic
Li07,12,Lobula Intrinsic,Color,intrinsic
Li08,22,Lobula Intrinsic,Color,intrinsic
Li09,26,Lobula Intrinsic,Color,intrinsic
Li10,94,Lobula Intrinsic,Color,intrinsic
Li11,30,Lobula Intrinsic,Color,intrinsic
Li12,20,Lobula Intrinsic,Color,intrinsic
Li13,35,Lobula Intrinsic,Color,intrinsic
Li14,13,Lobula Intrinsic,Motion,intrinsic
Li15,16,Lobula Intrinsic,Object,intrinsic
Li16,19,Lobula Intrinsic,Object,intrinsic
Li17,44,Lobula Intrinsic,Object,intrinsic
Li18,17,Lobula Intrinsic,Color,intrinsic
Li19,2,Lobula Intrinsic,Object,intrinsic
Li20,3,Lobula Intrinsic,Object,intrinsic
Li21,7,Lobula Intrinsic,Object,intrinsic
Li22,9,Lobula Intrinsic,Object,intrinsic
Li23,1,Lobula Intrinsic,Color,intrinsic
Li24,4,Lobula Intrinsic,Object,intrinsic
Li25,2,Lobula Intrinsic,Object,intrinsic
Li26,4,Lobula Intrinsic,Object,intrinsic
Li27,2,Lobula Intrinsic,Color,intrinsic
Li28,2,Lobula Intrinsic,Color,intrinsic
Li29,1,Lobula Intrinsic,Color,intrinsic
Li30,1,Lobula Intrinsic,Color,intrinsic
Li31,1,Lobula Intrinsic,Object,intrinsic
Li32,1,Lobula Intrinsic,Color,intrinsic
Li33,1,Lobula Intrinsic,Color,intrinsic
MC65,3,MC,,boundary
MLt1,48,Medulla Lobula Tangential,Object,intrinsic
MLt2,55,Medulla Lobula Tangential,Color,intrinsic
MLt3,53,Medulla Lobula Tangential,Object,intrinsic
MLt4,45,Medulla Lobula Tangential,Object,intrinsic
MLt5,31,Medulla Lobula Tangential,Color,intrinsic
MLt6,29,Medulla Lobula Tangential,Color,intrinsic
MLt7,24,Medulla Lobula Tangential,Color,intrinsic
MLt8,10,Medulla Lobula Tangential,Color,intrinsic
MTe01a,29,MT,,boundary
MTe01b,25,MT,,boundary
MTe02,39,MT,,boundary
MTe03,23,MT,,boundary
MTe04,12,MT,,boundary
MTe05,14,MT,,boundary
MTe06,10,MT,,boundary
MTe07,7,MT,,boundary
MTe08,6,MT,,boundary
MTe09,6,MT,,boundary
MTe10,4,MT,,boundary
MTe11,3,MT,,boundary
MTe12,3,MT,,boundary
MTe13,2,MT,,boundary
MTe14,2,MT,,boundary
MTe15,2,MT,,boundary
MTe16,2,MT,,boundary
MTe17,2,MT,,boundary
MTe18,2,MT,,boundary
MTe19,1,MT,,boundary
MTe20,1,MT,,boundary
MTe21,1,MT,,boundary
MTe22,1,MT,,boundary
