type,count,family,subsystem,category
5-HTPMPV01,1,other,,boundary
5th-LNv,1,other,,boundary
AN_multi_124,3,AN,,boundary
AOTU026,1,AOTU,,boundary
AOTU054,1,AOTU,,boundary
AOTU065,1,AOTU,,boundary
APDN3,6,other,,boundary
AVLP151,1,AVLP,,boundary
AVLP534,1,AVLP,,boundary
AVLP593,1,AVLP,,boundary
Am1,1,Medulla Lobula Lobula Plate Amacrine,Motion,intrinsic
C2,743,Centrifugal,ON,intrinsic
C3,768,Centrifugal,ON,intrinsic
CB0143,1,CB,,boundary
CB0734,1,CB,,boundary
CB0802,1,CB,,boundary
CB1329,1,CB,,boundary
CB2685,1,CB,,boundary
CB2848,1,CB,,boundary
CB3089,2,CB,,boundary
CB3235,1,CB,,boundary
CB3238,1,CB,,boundary
CB3790,1,CB,,boundary
CB3866,1,CB,,boundary
CL104,1,other,,boundary
CT1,1,Lobula Medulla Amacrine,Motion,intrinsic
DCH,1,other,,boundary
DGI,1,other,,boundary
DN1-l,1,DN,,boundary
DN1a,2,DN,,boundary
DNc01,1,DN,,boundary
DNc02,1,DN,,boundary
DNg33,1,DN,,boundary
DNp11,1,DN,,boundary
DNp31,1,DN,,boundary
DNpe053,1,DN,,boundary
Dm1,37,Distal Medulla,ON,intrinsic
Dm10,249,Distal Medulla,Luminance,intrinsic
Dm11,66,Distal Medulla,Color,intrinsic
Dm12,109,Distal Medulla,Luminance,intrinsic
Dm13,24,Distal Medulla,OFF,intrinsic
Dm14,14,Distal Medulla,OFF,intrinsic
Dm15,201,Distal Medulla,OFF,intrinsic
Dm16,44,Distal Medulla,OFF,intrinsic
Dm17,4,Distal Medulla,OFF,intrinsic
Dm18,25,Distal Medulla,ON,intrinsic
Dm19,11,Distal Medulla,OFF,intrinsic
Dm2,598,Distal Medulla,Luminance,intrinsic
Dm20,47,Distal Medulla,Luminance,intrinsic
Dm3p,500,Distal Medulla,Form,intrinsic
Dm3q,456,Distal Medulla,Form,intrinsic
Dm3v,320,Distal Medulla,Form,intrinsic
Dm4,39,Distal Medulla,Luminance,intrinsic
Dm6,31,Distal Medulla,OFF,intrinsic
Dm8a,184,Distal Medulla,Color,intrinsic
Dm8b,197,Distal Medulla,Color,intrinsic
Dm9,128,Distal Medulla,Luminance,intrinsic
DmDRA1,23,Distal Medulla Dorsal Rim Area,Polarization,intrinsic
DmDRA2,12,Distal Medulla Dorsal Rim Area,Color,intrinsic
H2,1,H,,boundary
HSE,1,HS,,boundary
HSN,1,HS,,boundary
HSS,1,HS,,boundary
L1,793,Lamina Monopolar,ON,intrinsic
L2,791,Lamina Monopolar,OFF,intrinsic
L3,738,Lamina Monopolar,Luminance,intrinsic
L4,724,Lamina Monopolar,OFF,intrinsic
L5,785,Lamina Monopolar,ON,intrinsic
LAL047,1,other,,boundary
LC10a,121,LC,,boundary
LC10b,43,LC,,boundary
LC10c,102,LC,,boundary
LC10d,95,LC,,boundary
LC10e,51,LC,,boundary
LC10f,2,LC,,boundary
LC11,61,LC,,boundary
LC12,183,LC,,boundary
LC13,70,LC,,boundary
LC15,54,LC,,boundary
LC16,74,LC,,boundary
LC17,142,LC,,boundary
LC18,92,LC,,boundary
LC19,7,LC,,boundary
LC20a,26,LC,,boundary
LC20b,23,LC,,boundary
LC21,62,LC,,boundary
LC22,46,LC,,boundary
LC24,35,LC,,boundary
LC25,29,LC,,boundary
LC26,31,LC,,boundary
LC27,19,LC,,boundary
LC28a,56,LC,,boundary
LC29,23,LC,,boundary
LC31a,17,LC,,boundary
LC31b,5,LC,,boundary
LC31c,1,LC,,boundary
LC33,15,LC,,boundary
LC34,7,LC,,boundary
LC35,4,LC,,boundary
LC36,17,LC,,boundary
LC37,9,LC,,boundary
LC39,4,LC,,boundary
LC4,50,LC,,boundary
LC40,18,LC,,boundary
LC41,6,LC,,boundary
LC43,6,LC,,boundary
LC44,2,LC,,boundary
LC45,12,LC,,boundary
LC46,7,LC,,boundary
LC6,60,LC,,boundary
LC9,92,LC,,boundary
LCe01a,12,LC,,boundary
LCe01b,23,LC,,boundary
LCe02,28,LC,,boundary
LCe03,25,LC,,boundary
LCe04,18,LC,,boundary
LCe05,8,LC,,boundary
LCe06,6,LC,,boundary
LCe07,6,LC,,boundary
LCe08,4,LC,,boundary
LCe09,8,LC,,boundary
LHPV2i2a,1,other,,boundary
LLPC1,113,LLPC,,boundary
LLPC2,115,LLPC,,boundary
LLPC3,102,LLPC,,boundary
LLPC4,3,LLPC,,boundary
LLPt,36,Lobula Lobula Plate Tangential,Color,intrinsic
LM102a_L234-M89,2,Weirdos,,intrinsic
LMa1,28,Lobula Medulla Amacrine,Object,intrinsic
LMa2,20,Lobula Medulla Amacrine,Object,intrinsic
LMa3,18,Lobula Medulla Amacrine,Object,intrinsic
LMa4,33,Lobula Medulla Amacrine,Object,intrinsic
LMa5,34,Lobula Medulla Amacrine,Object,intrinsic
LMt1,23,Lobula Medulla Tangential,Object,intrinsic
LMt2,27,Lobula Medulla Tangential,Object,intrinsic
LMt3,18,Lobula Medulla Tangential,Object,intrinsic
LMt4,20,Lobula Medulla Tangential,Object,intrinsic
LNd_CRY+_ITP+,1,LN,,boundary
LPC1,82,LPC,,boundary
LPC2,62,LPC,,boundary
LPLC1,72,LPLC,,boundary
LPLC2,102,LPLC,,boundary
LPLC4,54,LPLC,,boundary
LPT04_HST,1,LPT,,boundary
LPT21,1,LPT,,boundary
LPT22,1,LPT,,boundary
LPT23,3,LPT,,boundary
LPT26,1,LPT,,boundary
LPT27,1,LPT,,boundary
LPT28,1,LPT,,boundary
LPT29,1,LPT,,boundary
LPT30,1,LPT,,boundary
LPT31,4,LPT,,boundary
LPT42_Nod4,1,LPT,,boundary
LPT47_vCal2,1,LPT,,boundary
LPT48_vCal3,1,LPT,,boundary
LPT49,1,LPT,,boundary
LPT51,1,LPT,,boundary
LPT52,1,LPT,,boundary
LPT53,1,LPT,,boundary
LPT54,1,LPT,,boundary
LPT57,1,LPT,,boundary
LPT58,1,LPT,,boundary
LPTe01,20,LPT,,boundary
LPTe02,6,LPT,,boundary
LPi01,16,Lobula Plate Intrinsic,Motion,intrinsic
LPi02,48,Lobula Plate Intrinsic,Motion,intrinsic
LPi03,7,Lobula Plate Intrinsic,Motion,intrinsic
LPi04,51,Lobula Plate Intrinsic,Motion,intrinsic
LPi05,42,Lobula Plate Intrinsic,Motion,intrinsic
LPi06,17,Lobula Plate Intrinsic,Motion,intrinsic
LPi07,51,Lobula Plate Intrinsic,Motion,intrinsic
LPi08,22,Lobula Plate Intrinsic,Motion,intrinsic
LPi09,56,Lobula Plate Intrinsic,Motion,intrinsic
LPi10,21,Lobula Plate Intrinsic,Motion,intrinsic
LPi11,27,Lobula Plate Intrinsic,Motion,intrinsic
LPi12,1,Lobula Plate Intrinsic,Motion,intrinsic
LPi13,1,Lobula Plate Intrinsic,Motion,intrinsic
LPi14,2,Lobula Plate Intrinsic,Motion,intrinsic
LPi15,1,Lobula Plate Intrinsic,Motion,intrinsic
LT11,1,LT,,boundary
LT1a,1,LT,,boundary
LT1b,1,LT,,boundary
LT1c,1,LT,,boundary
LT1d,1,LT,,boundary
LT33,1,LT,,boundary
LT34,1,LT,,boundary
LT36,1,LT,,boundary
LT37,1,LT,,boundary
LT38,2,LT,,boundary
LT39,1,LT,,boundary
LT40,1,LT,,boundary
LT41,1,LT,,boundary
LT42,1,LT,,boundary
LT43,2,LT,,boundary
LT47,1,LT,,boundary
LT51,11,LT,,boundary
LT52,16,LT,,boundary
LT53,4,LT,,boundary
LT56,1,LT,,boundary
LT57,11,LT,,boundary
LT58,1,LT,,boundary
LT59,1,LT,,boundary
LT60,1,LT,,boundary
LT61a,1,LT,,boundary
LT61b,1,LT,,boundary
LT62,1,LT,,boundary
LT63,2,LT,,boundary
LT64,2,LT,,boundary
LT65,1,LT,,boundary
LT67,1,LT,,boundary
LT68,2,LT,,boundary
LT69,1,LT,,boundary
LT70,4,LT,,boundary
LT72,1,LT,,boundary
LT73,2,LT,,boundary
LT74,2,LT,,boundary
LT75,1,LT,,boundary
LT76,1,LT,,boundary
LT77,3,LT,,boundary
LT78,4,LT,,boundary
LT79,1,LT,,boundary
LT80,2,LT,,boundary
LT81,5,LT,,boundary
LT82,3,LT,,boundary
LT83,1,LT,,boundary
LT84,1,LT,,boundary
LT85,1,LT,,boundary
LT86,1,LT,,boundary
LT87,1,LT,,boundary
LTe01,2,LT,,boundary
LTe02,2,LT,,boundary
LTe03,2,LT,,boundary
LTe04,1,LT,,boundary
LTe05,1,LT,,boundary
LTe06,1,LT,,boundary
LTe07,1,LT,,boundary
LTe08,1,LT,,boundary
LTe09,7,LT,,boundary
LTe10,1,LT,,boundary
LTe11,1,LT,,boundary
LTe12,1,LT,,boundary
LTe13,1,LT,,boundary
LTe14,1,LT,,boundary
LTe15,1,LT,,boundary
LTe16,1,LT,,boundary
LTe17,1,LT,,boundary
LTe18,1,LT,,boundary
LTe19,1,LT,,boundary
LTe20,1,LT,,boundary
LTe21,1,LT,,boundary
LTe22,1,LT,,boundary
LTe23,1,LT,,boundary
LTe24,1,LT,,boundary
LTe25,1,LT,,boundary
LTe26,1,LT,,boundary
LTe27,1,LT,,boundary
LTe28,1,LT,,boundary
LTe29,1,LT,,boundary
LTe30,1,LT,,boundary
LTe31,1,LT,,boundary
LTe32,3,LT,,boundary
LTe33,2,LT,,boundary
LTe35,1,LT,,boundary
LTe36,1,LT,,boundary
LTe37,2,LT,,boundary
LTe38a,4,LT,,boundary
LTe38b,2,LT,,boundary
LTe40,1,LT,,boundary
LTe41,1,LT,,boundary
LTe42a,1,LT,,boundary
LTe42b,1,LT,,boundary
LTe42c,1,LT,,boundary
LTe43,4,LT,,boundary
LTe44,1,LT,,boundary
LTe45,1,LT,,boundary
LTe46,1,LT,,boundary
LTe47,2,LT,,boundary
LTe48,1,LT,,boundary
LTe49a,2,LT,,boundary
LTe49b,2,LT,,boundary
LTe49c,3,LT,,boundary
LTe49d,2,LT,,boundary
LTe49e,1,LT,,boundary
LTe49f,2,LT,,boundary
LTe50,2,LT,,boundary
LTe51,1,LT,,boundary
LTe53,1,LT,,boundary
LTe54,2,LT,,boundary
LTe55,1,LT,,boundary
LTe56,1,LT,,boundary
LTe57,1,LT,,boundary
LTe58,6,LT,,boundary
LTe59a,1,LT,,boundary
LTe59b,1,LT,,boundary
LTe60,1,LT,,boundary
LTe61,1,LT,,boundary
LTe62,1,LT,,boundary
LTe63,3,LT,,boundary
LTe64,8,LT,,boundary
LTe65,4,LT,,boundary
LTe66,3,LT,,boundary
LTe67,2,LT,,boundary
LTe68,5,LT,,boundary
LTe69,1,LT,,boundary
LTe70,1,LT,,boundary
LTe72,1,LT,,boundary
LTe73,1,LT,,boundary
LTe74,1,LT,,boundary
LTe75,1,LT,,boundary
LTe76,1,LT,,boundary
Lai,231,Lamina Intrinsic,OFF,intrinsic
Lat,6,Lamina Tangential,Color,intrinsic
LatB,6,other,,boundary
Lawf1,152,Lamina Wide Field,OFF,intrinsic
Lawf2,168,Lamina Wide Field,ON,intrinsic
Li01,84,Lobula Intrinsic,Color,intrinsic
Li02,49,Lobula Intrinsic,Color,intrinsic
Li03,46,Lobula Intrinsic,Color,intrinsic
Li04,16,Lobula Intrinsic,Color,intrinsic
Li05,86,Lobula Intrinsic,Color,intrinsic
Li06,93,Lobula Intrinsic,Color,intrinsic
Li07,10,Lobula Intrinsic,Color,intrinsic
Li08,22,Lobula Intrinsic,Color,intrinsic
Li09,26,Lobula Intrinsic,Color,intrinsic
Li10,92,Lobula Intrinsic,Color,intrinsic
Li11,32,Lobula Intrinsic,Color,intrinsic
Li12,21,Lobula Intrinsic,Color,intrinsic
Li124_56,2,Weirdos,,intrinsic
Li13,32,Lobula Intrinsic,Color,intrinsic
Li14,13,Lobula Intrinsic,Motion,intrinsic
Li15,16,Lobula Intrinsic,Object,intrinsic
Li16,17,Lobula Intrinsic,Object,intrinsic
Li17,45,Lobula Intrinsic,Object,intrinsic
Li18,15,Lobula Intrinsic,Color,intrinsic
Li19,2,Lobula Intrinsic,Object,intrinsic
Li20,3,Lobula Intrinsic,Object,intrinsic
Li21,11,Lobula Intrinsic,Object,intrinsic
Li22,8,Lobula Intrinsic,Object,intrinsic
Li23,1,Lobula Intrinsic,Color,intrinsic
Li24,6,Lobula Intrinsic,Object,intrinsic
Li25,2,Lobula Intrinsic,Object,intrinsic
Li26,4,Lobula Intrinsic,Object,intrinsic
Li27,2,Lobula Intrinsic,Color,intrinsic
Li28,2,Lobula Intrinsic,Color,intrinsic
Li29,1,Lobula Intrinsic,Color,intrinsic
Li30,1,Lobula Intrinsic,Color,intrinsic
Li31,1,Lobula Intrinsic,Object,intrinsic
Li32,1,Lobula Intrinsic,Color,intrinsic
Li33,1,Lobula Intrinsic,Color,intrinsic
MC65,3,MC,,boundary
MLt1,44,Medulla Lobula Tangential,Object,intrinsic
MLt2,48,Medulla Lobula Tangential,Color,intrinsic
MLt3,55,Medulla Lobula Tangential,Object,intrinsic
MLt4,44,Medulla Lobula Tangential,Object,intrinsic
MLt5,36,Medulla Lobula Tangential,Color,intrinsic
MLt6,30,Medulla Lobula Tangential,Color,intrinsic
MLt7,24,Medulla Lobula Tangential,Color,intrinsic
MLt8,14,Medulla Lobula Tangential,Color,intrinsic
MTe01a,47,MT,,boundary
MTe01b,27,MT,,boundary
MTe02,38,MT,,boundary
MTe03,24,MT,,boundary
MTe04,18,MT,,boundary
MTe05,11,MT,,boundary
MTe06,8,MT,,boundary
MTe08,6,MT,,boundary
MTe09,4,MT,,boundary
MTe10,4,MT,,boundary
MTe11,3,MT,,boundary
