idx,ctype,inp_gain,out_gain,tau_m,bias,adapt_gain,tau_adapt,gate_pivot
0,R1,0.260630,1.069780,49.401398,-0.452309,0.000000,10.000000,0.500000
1,R2,0.237998,0.946464,51.650354,-0.463677,0.000000,10.000000,0.500000
2,R3,0.264252,0.958670,51.098349,-0.436931,0.000000,10.000000,0.500000
3,R4,0.302730,0.955669,54.390228,-0.401768,0.000000,10.000000,0.500000
4,R5,0.311858,0.988208,51.265952,-0.378227,0.000000,10.000000,0.500000
5,R6,0.349315,0.926274,49.715986,-0.429643,0.000000,10.000000,0.500000
6,R7,0.100000,0.997599,53.448381,0.410535,0.000000,10.000000,0.500000
7,R8,0.100000,1.077168,53.332234,-0.449745,0.000000,10.000000,0.500000
8,L1,0.909511,0.894926,46.518648,0.340240,-0.040739,99.045657,0.500000
9,L2,1.025623,0.852658,48.977101,0.234530,-0.088720,95.928845,0.500000
10,L3,1.060853,0.621843,52.971907,0.165829,0.033170,92.340028,0.500000
11,L4,0.894323,1.004589,48.213632,0.439829,-0.088953,96.412527,0.500000
12,L5,0.886520,0.986374,52.862687,0.394565,-0.234554,95.714353,0.500000
13,Lawf1,0.590921,0.450888,51.580969,-0.026263,0.000000,10.000000,0.500000
14,Lawf2,0.548460,0.560718,49.968478,-0.027406,0.000000,10.000000,0.500000
15,Am,0.540212,0.429667,49.262754,-0.028167,0.000000,10.000000,0.500000
16,C2,0.108113,0.323004,46.593095,0.304183,0.000000,10.000000,0.500000
17,C3,0.100000,0.402012,51.955258,0.320532,0.000000,10.000000,0.500000
18,CT1(Lo1),0.497931,0.478488,48.529880,-0.044877,0.000000,10.000000,0.500000
19,CT1(M10),0.486573,0.404544,48.792299,-0.032533,0.000000,10.000000,0.500000
20,Mi1,0.944008,0.272508,47.605467,0.443800,0.000000,10.000000,0.500000
21,Mi2,0.464495,0.561275,51.732456,-0.011071,0.000000,10.000000,0.500000
22,Mi3,0.565893,0.412653,54.726876,-0.020205,0.000000,10.000000,0.500000
23,Mi4,1.005118,0.536985,51.175796,-0.049358,0.000000,10.000000,0.500000
24,Mi9,0.100000,0.154549,54.618280,-0.186535,0.000000,10.000000,0.500000
25,Mi10,0.479436,0.839087,46.403899,0.479697,0.000000,10.000000,0.500000
26,Mi11,0.526953,0.406091,47.989161,0.035934,0.000000,10.000000,0.500000
27,Mi12,0.573727,0.843243,50.600944,0.506539,0.000000,10.000000,0.500000
28,Mi13,0.572081,0.419705,54.466896,-0.045003,0.000000,10.000000,0.500000
29,Mi14,0.458490,0.806169,45.991259,0.477891,0.000000,10.000000,0.500000
30,Mi15,0.960885,0.927272,52.452380,0.460685,0.000000,10.000000,0.500000
31,T1,0.442264,0.471845,47.151545,-0.020109,0.000000,10.000000,0.500000
32,T2,0.684077,0.749810,48.086566,0.392244,0.000000,10.000000,0.500000
33,T2a,0.747853,0.633419,46.806523,0.256917,0.000000,10.000000,0.500000
34,T3,0.750553,0.877313,51.798881,0.323516,0.000000,10.000000,0.500000
35,T4a,0.371223,0.216721,52.680633,-0.221506,0.000000,10.000000,0.500000
36,T4b,0.582055,0.451429,52.654623,-0.044190,0.000000,10.000000,0.500000
37,T4c,0.270606,0.369982,51.980143,-0.176211,0.000000,10.000000,0.500000
38,T4d,0.514702,0.402521,46.684587,-0.045336,0.000000,10.000000,0.500000
39,T5a,0.432660,0.519729,50.326880,0.007106,0.000000,10.000000,0.500000
40,T5b,0.424458,0.489345,52.362352,-0.037777,0.000000,10.000000,0.500000
41,T5c,0.554848,0.496573,53.343796,0.121293,0.000000,10.000000,0.500000
42,T5d,0.441398,0.546706,52.244381,-0.044949,0.000000,10.000000,0.500000
43,Tm1,0.684324,0.452154,53.716805,-0.040063,0.000000,10.000000,0.500000
44,Tm2,0.930980,0.816095,44.953097,-0.214630,0.000000,10.000000,0.500000
45,Tm3,0.989864,0.425826,46.955068,-0.046206,0.000000,10.000000,0.500000
46,Tm4,1.016755,0.208999,53.457650,0.430411,0.000000,10.000000,0.500000
47,Tm5Y,0.409799,0.422051,49.755559,-0.017869,0.000000,10.000000,0.500000
48,Tm5a,0.526984,0.583930,51.085920,-0.033949,0.000000,10.000000,0.500000
49,Tm5b,0.402542,0.397241,48.984202,0.072696,0.000000,10.000000,0.500000
50,Tm5c,0.814480,0.738241,52.737074,-0.164304,0.000000,10.000000,0.500000
51,Tm9,0.856234,0.546435,53.359148,-0.042633,0.000000,10.000000,0.500000
52,Tm16,0.382540,0.503959,52.225986,-0.286676,0.000000,10.000000,0.500000
53,Tm20,0.487020,0.460672,46.401396,-0.025581,0.000000,10.000000,0.500000
54,Tm28,0.477416,0.421449,47.124406,0.086865,0.000000,10.000000,0.500000
55,Tm30,0.491148,0.586960,52.096408,0.023516,0.000000,10.000000,0.500000
56,TmY3,0.456395,0.482187,53.570983,-0.038120,0.000000,10.000000,0.500000
57,TmY4,0.463543,0.748277,52.904128,0.421750,0.000000,10.000000,0.500000
58,TmY5a,0.467363,0.476528,51.620484,-0.020555,0.000000,10.000000,0.500000
59,TmY9,0.441216,0.489390,48.117157,-0.001180,0.000000,10.000000,0.500000
60,TmY10,0.457596,0.529936,51.069441,-0.040710,0.000000,10.000000,0.500000
61,TmY13,0.517376,0.699772,54.827753,0.430948,0.000000,10.000000,0.500000
62,TmY14,0.449016,0.521764,49.509469,-0.006669,0.000000,10.000000,0.500000
63,TmY15,0.198353,0.425676,52.996628,0.482382,0.000000,10.000000,0.500000
64,TmY18,0.467946,0.584752,49.821583,-0.044149,0.000000,10.000000,0.500000
