idx,ctype,inp_gain,out_gain,tau_m,bias,adapt_gain,tau_adapt,out_scale,gate_pivot
0,R1,0.100000,2.933553,49.225861,-0.457682,0.000000,10.000000,1.366253,0.500000
1,R2,0.105111,2.815419,46.588563,-0.425441,0.000000,10.000000,0.000000,0.500000
2,R3,0.100000,2.848621,44.560863,-0.489751,0.000000,10.000000,0.000000,0.500000
3,R4,0.212339,2.947156,47.099709,-0.415811,0.000000,10.000000,0.000000,0.500000
4,R5,0.100000,2.780860,51.768965,-0.466089,0.000000,10.000000,0.279472,0.500000
5,R6,0.146097,2.896207,51.082291,-0.468168,0.000000,10.000000,0.562489,0.500000
6,R7,0.100000,2.268530,44.692920,-0.226448,0.000000,10.000000,2.912416,0.500000
7,R8,0.100000,2.915476,43.442885,-0.225915,0.000000,10.000000,1.629061,0.500000
8,L1,2.951195,2.870192,52.868924,1.481587,-1.520110,108.807473,0.000000,0.500000
9,L2,2.854334,2.467780,52.403343,1.828559,-1.443779,97.403669,0.312750,0.500000
10,L3,2.932470,2.496134,53.598793,1.656572,-1.368067,92.125408,0.000000,0.500000
11,L4,2.673069,2.392627,45.775158,1.954928,-1.710763,97.440360,2.181272,0.500000
12,L5,2.686506,2.328976,49.481857,1.663777,-1.403671,105.008190,0.000000,0.500000
13,Lawf1,0.100000,1.856754,53.917141,1.652508,0.000000,10.000000,0.442888,0.500000
14,Lawf2,0.826240,0.270611,53.523487,-0.268795,0.000000,10.000000,2.530142,0.500000
15,Am,0.597749,0.409074,48.400215,-0.021515,0.000000,10.000000,0.000000,0.500000
16,C2,0.100000,2.182120,51.027532,2.000000,0.000000,10.000000,3.106827,0.500000
17,C3,0.352027,0.341337,48.408633,-0.268384,0.000000,10.000000,2.229212,0.500000
18,CT1(Lo1),0.485645,0.451576,48.549856,-0.063300,0.000000,10.000000,2.751071,0.500000
19,CT1(M10),0.538500,0.421745,47.261977,-0.012524,0.000000,10.000000,3.236553,0.500000
20,Mi1,2.751808,0.441283,44.002117,-0.032652,0.000000,10.000000,0.000000,0.500000
21,Mi2,0.943138,0.626509,51.930205,0.132511,0.000000,10.000000,2.178982,0.500000
22,Mi3,0.583857,0.517612,47.890556,0.081641,0.000000,10.000000,1.545190,0.500000
23,Mi4,2.730222,1.377406,44.287507,-0.104790,0.000000,10.000000,2.600460,0.500000
24,Mi9,1.488631,1.061070,44.867848,0.137780,0.000000,10.000000,3.054729,0.500000
25,Mi10,0.561810,0.405099,54.041614,-0.042940,0.000000,10.000000,2.872423,0.500000
26,Mi11,0.520565,0.570440,45.656736,0.037602,0.000000,10.000000,3.353239,0.500000
27,Mi12,0.100000,0.398541,54.155685,0.080177,0.000000,10.000000,3.356623,0.500000
28,Mi13,0.495317,0.403596,54.688367,-0.048164,0.000000,10.000000,3.368541,0.500000
29,Mi14,0.526072,0.519657,54.113078,-0.038119,0.000000,10.000000,2.963813,0.500000
30,Mi15,2.914791,2.776060,53.038554,1.382759,0.000000,10.000000,3.195769,0.500000
31,T1,1.466444,1.364913,44.608634,0.316496,0.000000,10.000000,3.310291,0.500000
32,T2,1.014637,1.035514,49.098614,-0.022656,0.000000,10.000000,3.207279,0.500000
33,T2a,0.249909,0.257182,49.518073,-0.192332,0.000000,10.000000,3.240103,0.500000
34,T3,0.250899,0.324900,54.775934,-0.215695,0.000000,10.000000,1.778927,0.500000
35,T4a,0.466737,0.407881,45.713716,-0.029798,0.000000,10.000000,3.168587,0.500000
36,T4b,0.575398,0.442884,49.925549,-0.040183,0.000000,10.000000,2.779356,0.500000
37,T4c,0.587672,0.456436,45.368103,-0.027084,0.000000,10.000000,2.948596,0.500000
38,T4d,0.482841,0.481518,45.992853,-0.025616,0.000000,10.000000,3.228541,0.500000
39,T5a,0.100000,0.100000,54.097010,0.186666,0.000000,10.000000,0.442888,0.500000
40,T5b,0.754818,0.916878,46.430422,0.235803,0.000000,10.000000,2.530142,0.500000
41,T5c,0.415426,0.654219,53.054363,-0.193147,0.000000,10.000000,0.000000,0.500000
42,T5d,0.338773,0.346361,54.651721,-0.189734,0.000000,10.000000,3.106827,0.500000
43,Tm1,2.626429,1.404884,48.830946,0.494498,0.000000,10.000000,2.229212,0.500000
44,Tm2,2.378321,1.330964,47.141358,0.415974,0.000000,10.000000,2.751071,0.500000
45,Tm3,2.671302,0.100000,45.944425,1.648000,0.000000,10.000000,3.236553,0.500000
46,Tm4,2.476476,0.100000,46.272608,-0.726432,0.000000,10.000000,0.000000,0.500000
47,Tm5Y,0.421505,0.429429,51.393427,-0.030601,0.000000,10.000000,2.178982,0.500000
48,Tm5a,0.596109,0.443511,45.306818,-0.026906,0.000000,10.000000,1.545190,0.500000
49,Tm5b,0.537901,0.489781,45.993560,-0.049484,0.000000,10.000000,2.600460,0.500000
50,Tm5c,2.264811,2.237577,53.331220,0.103132,0.000000,10.000000,3.054729,0.500000
51,Tm9,2.757464,0.983465,46.112516,0.099018,0.000000,10.000000,2.872423,0.500000
52,Tm16,0.723959,0.760793,51.704949,-0.233794,0.000000,10.000000,1.366253,0.500000
53,Tm20,0.334954,0.326667,45.378931,-0.216453,0.000000,10.000000,0.000000,0.500000
54,Tm28,0.100000,0.388963,50.720954,0.397143,0.000000,10.000000,0.000000,0.500000
55,Tm30,0.493523,0.562069,53.082683,0.034336,0.000000,10.000000,0.000000,0.500000
56,TmY3,1.090004,1.180246,50.033983,-0.098823,0.000000,10.000000,0.279472,0.500000
57,TmY4,0.100000,0.438642,51.308544,0.995654,0.000000,10.000000,0.562489,0.500000
58,TmY5a,0.435033,0.503393,52.527389,-0.038158,0.000000,10.000000,2.912416,0.500000
59,TmY9,0.475626,0.438600,51.645825,-0.032366,0.000000,10.000000,1.629061,0.500000
60,TmY10,0.100000,0.215073,48.721986,0.653591,0.000000,10.000000,0.000000,0.500000
61,TmY13,0.511667,0.493234,46.101936,-0.043934,0.000000,10.000000,0.312750,0.500000
62,TmY14,1.466785,1.530075,52.549858,0.094093,0.000000,10.000000,0.000000,0.500000
63,TmY15,0.213352,0.100000,51.597906,0.079025,0.000000,10.000000,2.181272,0.500000
64,TmY18,1.082942,1.405109,48.974853,1.015231,0.000000,10.000000,0.000000,0.500000
