idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,R1,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
1,R2,0.100000,0.918542,0.000000,3.971613,-48.070171,-0.307058,-42.072893
2,R3,0.100000,0.139473,0.000000,3.971613,-48.070171,-0.307058,-42.072893
3,R4,1.262056,2.766965,0.000000,3.971613,-48.070171,-0.307058,-42.072893
4,R5,0.100000,0.207068,0.000000,3.971613,-48.070171,-0.307058,-42.072893
5,R6,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
6,R7,0.202858,3.250054,0.000000,3.971613,-48.070171,-0.307058,-42.072893
7,R8,2.847703,1.126191,0.000000,3.971613,-48.070171,-0.307058,-42.072893
8,L1,4.018761,1.126601,42.234197,3.971613,-48.070171,-0.307058,-42.072893
9,L2,4.737267,0.581289,45.661071,3.971613,-48.070171,-0.307058,-42.072893
10,L3,0.407907,0.100000,2.068377,3.971613,-48.070171,-0.307058,-42.072893
11,L4,4.598533,2.607962,0.562111,3.971613,-48.070171,-0.307058,-42.072893
12,L5,1.796033,0.507218,58.406853,3.971613,-48.070171,-0.307058,-42.072893
13,Lawf1,0.296094,0.241141,0.000000,3.971613,-48.070171,-0.307058,-42.072893
14,Lawf2,2.993688,1.639501,0.000000,3.971613,-48.070171,-0.307058,-42.072893
15,Am,5.242548,3.919496,0.000000,3.971613,-48.070171,-0.307058,-42.072893
16,C2,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
17,C3,1.085111,0.990783,0.000000,3.971613,-48.070171,-0.307058,-42.072893
18,CT1(Lo1),0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
19,CT1(M10),8.274483,4.408561,0.000000,3.971613,-48.070171,-0.307058,-42.072893
20,Mi1,2.359767,2.176972,0.000000,3.971613,-48.070171,-0.307058,-42.072893
21,Mi2,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
22,Mi3,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
23,Mi4,1.326524,1.319482,0.000000,3.971613,-48.070171,-0.307058,-42.072893
24,Mi9,0.678921,3.314746,0.000000,3.971613,-48.070171,-0.307058,-42.072893
25,Mi10,0.527984,0.463714,0.000000,3.971613,-48.070171,-0.307058,-42.072893
26,Mi11,0.428671,0.533482,0.000000,3.971613,-48.070171,-0.307058,-42.072893
27,Mi12,4.375768,4.390283,0.000000,3.971613,-48.070171,-0.307058,-42.072893
28,Mi13,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
29,Mi14,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
30,Mi15,1.168826,1.292884,0.000000,3.971613,-48.070171,-0.307058,-42.072893
31,T1,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
32,T2,2.403701,2.036886,0.000000,3.971613,-48.070171,-0.307058,-42.072893
33,T2a,3.709244,5.568553,0.000000,3.971613,-48.070171,-0.307058,-42.072893
34,T3,0.100000,0.167119,0.000000,3.971613,-48.070171,-0.307058,-42.072893
35,T4a,3.078907,1.159087,0.000000,3.971613,-48.070171,-0.307058,-42.072893
36,T4b,5.716864,3.700263,0.000000,3.971613,-48.070171,-0.307058,-42.072893
37,T4c,4.370348,2.132382,0.000000,3.971613,-48.070171,-0.307058,-42.072893
38,T4d,8.666209,7.148463,0.000000,3.971613,-48.070171,-0.307058,-42.072893
39,T5a,0.569052,0.240984,0.000000,3.971613,-48.070171,-0.307058,-42.072893
40,T5b,1.416687,1.091979,0.000000,3.971613,-48.070171,-0.307058,-42.072893
41,T5c,0.795535,0.766466,0.000000,3.971613,-48.070171,-0.307058,-42.072893
42,T5d,1.082646,1.141263,0.000000,3.971613,-48.070171,-0.307058,-42.072893
43,Tm1,0.509213,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
44,Tm2,0.167091,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
45,Tm3,2.657352,1.035322,0.000000,3.971613,-48.070171,-0.307058,-42.072893
46,Tm4,1.075547,0.475610,0.000000,3.971613,-48.070171,-0.307058,-42.072893
47,Tm5Y,0.132645,0.235916,0.000000,3.971613,-48.070171,-0.307058,-42.072893
48,Tm5a,0.828873,0.834000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
49,Tm5b,1.416665,1.505055,0.000000,3.971613,-48.070171,-0.307058,-42.072893
50,Tm5c,2.700159,2.448085,0.000000,3.971613,-48.070171,-0.307058,-42.072893
51,Tm9,1.947319,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
52,Tm16,0.597675,0.516255,0.000000,3.971613,-48.070171,-0.307058,-42.072893
53,Tm20,0.507280,3.301241,0.000000,3.971613,-48.070171,-0.307058,-42.072893
54,Tm28,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
55,Tm30,0.432262,0.545051,0.000000,3.971613,-48.070171,-0.307058,-42.072893
56,TmY3,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
57,TmY4,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
58,TmY5a,2.633684,2.606658,0.000000,3.971613,-48.070171,-0.307058,-42.072893
59,TmY9,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
60,TmY10,1.580791,1.535502,0.000000,3.971613,-48.070171,-0.307058,-42.072893
61,TmY13,0.953812,0.939267,0.000000,3.971613,-48.070171,-0.307058,-42.072893
62,TmY14,0.924510,2.158733,0.000000,3.971613,-48.070171,-0.307058,-42.072893
63,TmY15,1.336549,0.572128,0.000000,3.971613,-48.070171,-0.307058,-42.072893
64,TmY18,0.100000,0.100000,0.000000,3.971613,-48.070171,-0.307058,-42.072893
