idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,C2,0.534641,0.613534,0.000000,1.000000,-51.239116,-0.200000,-52.433440
1,C3,0.439850,0.652196,0.000000,1.000000,-51.239116,-0.200000,-52.433440
2,L1,0.500751,0.482147,0.000000,1.000000,-51.239116,-0.200000,-52.433440
3,L2,0.534257,0.587102,0.000000,1.000000,-51.239116,-0.200000,-52.433440
4,L3,0.447383,0.540047,0.000000,1.000000,-51.239116,-0.200000,-52.433440
5,L4,0.547256,0.620037,0.000000,1.000000,-51.239116,-0.200000,-52.433440
6,L5,0.439850,0.652196,0.000000,1.000000,-51.239116,-0.200000,-52.433440
7,Mi1,0.554226,0.585120,0.000000,1.000000,-51.239116,-0.200000,-52.433440
8,Mi4,0.554226,0.585120,0.000000,1.000000,-51.239116,-0.200000,-52.433440
9,Mi9,0.514632,0.581524,46.995264,1.000000,-51.239116,-0.200000,-52.433440
10,R1-6,0.463398,0.508623,50.565910,1.000000,-51.239116,-0.200000,-52.433440
11,R7,0.698264,0.536279,0.000000,1.000000,-51.239116,-0.200000,-52.433440
12,R8,0.583008,0.560948,0.000000,1.000000,-51.239116,-0.200000,-52.433440
13,T1,0.300684,0.595626,0.000000,1.000000,-51.239116,-0.200000,-52.433440
14,T2,0.341049,0.397449,0.000000,1.000000,-51.239116,-0.200000,-52.433440
15,T2a,0.576610,0.509013,0.000000,1.000000,-51.239116,-0.200000,-52.433440
16,T3,0.576610,0.509013,0.000000,1.000000,-51.239116,-0.200000,-52.433440
17,T4a,0.498688,0.559267,0.000000,1.000000,-51.239116,-0.200000,-52.433440
18,T4b,0.621788,0.479792,0.000000,1.000000,-51.239116,-0.200000,-52.433440
19,T4c,0.691701,0.484265,0.000000,1.000000,-51.239116,-0.200000,-52.433440
20,T4d,0.488805,0.562759,0.100000,1.000000,-51.239116,-0.200000,-52.433440
21,T5a,0.698264,0.536279,0.000000,1.000000,-51.239116,-0.200000,-52.433440
22,T5b,0.671230,0.310648,0.000000,1.000000,-51.239116,-0.200000,-52.433440
23,T5c,0.463398,0.508623,50.565910,1.000000,-51.239116,-0.200000,-52.433440
24,T5d,0.698264,0.536279,0.000000,1.000000,-51.239116,-0.200000,-52.433440
25,Tm1,0.671987,0.606037,0.000000,1.000000,-51.239116,-0.200000,-52.433440
26,Tm2,0.500751,0.482147,0.000000,1.000000,-51.239116,-0.200000,-52.433440
27,Tm20,0.341049,0.397449,0.000000,1.000000,-51.239116,-0.200000,-52.433440
28,Tm21,0.585160,0.394128,0.100000,1.000000,-51.239116,-0.200000,-52.433440
29,Tm3,0.373703,0.426200,0.000000,1.000000,-51.239116,-0.200000,-52.433440
30,Tm4,0.341049,0.397449,0.000000,1.000000,-51.239116,-0.200000,-52.433440
31,Tm9,0.447383,0.540047,0.000000,1.000000,-51.239116,-0.200000,-52.433440
